city,lat,lon,performer,year
"Jamestown, NY",42.0970023,-79.2353259,Bobby Norman,1935
"Syracuse, NY",43.0481221,-76.1474244,Bobby Norman,1935
"Utica, NY",43.1009031,-75.2326641,Bobby Norman,1935
"Binghamton, NY",42.096968,-75.914341,Bobby Norman,1935
"Scranton, PA",41.4086874,-75.6621294,Bobby Norman,1935
OH,40.2253569,-82.6881395,Bobby Royce,1938
"Chicago, IL",41.8755616,-87.6244212,Bobby Stevens,1933
"Albany, NY",42.6511674,-73.754968,Bobby Sullivan,1939
"Saratoga Springs, NY",43.0821793,-73.7853915,Bobby Sullivan,1939
"Albany, NY",42.6511674,-73.754968,Bobby Sullivan,1940
"Hazleton, PA",40.9646867,-75.9852789,Bobby Trent,1935
"Syracuse, NY",43.0481221,-76.1474244,Bobby Verrill,1935
"Chicago, IL",41.8755616,-87.6244212,Bohannan,1933
