city,lat,lon,performer,year
"Pittsburgh, PA",40.4416941,-79.9900861,Terry Phillips,1937
"Asbury Park, NJ",40.2203907,-74.0120817,Terry Stone,1935
"Hartford, CT",41.7655582,-72.69061276146614,Terry Tremaine,1938
"Chicago, IL",41.8755616,-87.6244212,Tex Hendricks,1930
"New York, NY",40.7127281,-74.0060152,Tex Hendricks,1934
"New York, NY",40.7127281,-74.0060152,Tex Hendricks,1936
"New York, NY",40.7127281,-74.0060152,Tex Hendricks,1937
"Miami, FL",25.7741728,-80.19362,Tex Hendricks,1939
"Miami, FL",25.7741728,-80.19362,Tex Hendricks,1940
"Hartford, CT",41.7655582,-72.69061276146614,The Mystery Dancer,1938
"Chicago, IL",41.8755616,-87.6244212,Thelma Lee,1940
"New York, NY",40.7127281,-74.0060152,Theodore Coppi,1935
"Akron, OH",41.083064,-81.518485,Thetis Storey,1937
"New York, NY",40.7127281,-74.0060152,Thomas Martin,1935
"Massillon, OH",40.7965119,-81.5231597,Thompson Twin 1,1936
"Massillon, OH",40.7965119,-81.5231597,Thompson Twin 2,1936
"Miami, FL",25.7741728,-80.19362,Tiny Kingsmore,1939
"Lansing, MI",42.7337712,-84.5553805,Toley-Goodie-Goodie-Waddel,1936
"Massillon, OH",40.7965119,-81.5231597,Tom Hose,1936
"Akron, OH",41.083064,-81.518485,Tom Hose,1936
"Hartford, CT",41.7655582,-72.69061276146614,Tom Martelle,1930
"Atlanta, GA",33.7489924,-84.3902644,Tom Martelle,1939
"New York, NY",40.7127281,-74.0060152,Tommy Mann,1930
"Los Angeles, CA",34.0536909,-118.242766,Tony Collins,1934
"Hartford, CT",41.7655582,-72.69061276146614,Tony Karol,1938
"Olean, NY",42.0774779,-78.4298613,Toots,1935
"Warren, PA",41.843949,-79.145045,Toots,1935
"Seattle, WA",47.6038321,-122.3300624,Val Rai,1937
"Reno, NV",39.5261206,-119.8126581,Val Rai,1937
"Seattle, WA",47.6038321,-122.3300624,Val Rai,1939
"Massillon, OH",40.7965119,-81.5231597,Val Turek,1936
"Akron, OH",41.083064,-81.518485,Val Turek,1936
"Pittsburgh, PA",40.4416941,-79.9900861,Val Varr,1935
"Chicago, IL",41.8755616,-87.6244212,Valda Gray,1936
"Chicago, IL",41.8755616,-87.6244212,Valda Gray,1937
"Chicago, IL",41.8755616,-87.6244212,Valda Gray,1938
"Chicago, IL",41.8755616,-87.6244212,Valda Gray,1939
"Chicago, IL",41.8755616,-87.6244212,Valda Gray,1940
"Benton Harbor, MI",42.1167065,-86.4541894,Vera Mazzie,1934
"Benton Harbor, MI",42.1167065,-86.4541894,Vera Mazzie,1937
"Los Angeles, CA",34.0536909,-118.242766,Verne Valdez,1935
"Massillon, OH",40.7965119,-81.5231597,Verne Valdez,1936
"Los Angeles, CA",34.0536909,-118.242766,Verne Valdez,1936
"East Liverpool, OH",40.6186756,-80.5772928,Verne Valdez,1936
"Columbus, OH",39.9622601,-83.0007065,Verne Valdez,1936
"Pittsburgh, PA",40.4416941,-79.9900861,Verne Valdez,1936
"Baltimore, MD",39.2908816,-76.610759,Verne Valdez,1937
"Columbus, OH",39.9622601,-83.0007065,Verne Valdez,1937
"Detroit, MI",42.3315509,-83.0466403,Verne Valdez,1937
"Youngstown, OH",41.1035786,-80.6520161,Verne Valdez,1937
"Baltimore, MD",39.2908816,-76.610759,Verne Valdez,1938
"Houston, TX",29.7589382,-95.3676974,Verne Valdez,1938
"Cleveland, OH",41.5051613,-81.6934446,Verne Valdez,1938
"San Francisco, CA",37.7790262,-122.4199061,Verne Valdez,1938
"Seattle, WA",47.6038321,-122.3300624,Verne Valdez,1939
"New York, NY",40.7127281,-74.0060152,Vincent McFarland,1930
"New York, NY",40.7127281,-74.0060152,Vincent Reid,1934
"Philadelphia, PA",39.9527237,-75.1635262,Vincent Reid,1934
"Miami, FL",25.7741728,-80.19362,Violet Clements,1939
"Albany, NY",42.6511674,-73.754968,Wally Brennan,1939
"Saratoga Springs, NY",43.0821793,-73.7853915,Wally Brennan,1939
"Miami, FL",25.7741728,-80.19362,Wally Thompson,1935
"San Francisco, CA",37.7790262,-122.4199061,Walter Hart,1938
"San Francisco, CA",37.7790262,-122.4199061,Walter Hart,1939
"San Francisco, CA",37.7790262,-122.4199061,Walter Hart,1940
"Miami, FL",25.7741728,-80.19362,Walter McDonald,1933
"Miami, FL",25.7741728,-80.19362,Walter McDonald,1934
"New York, NY",40.7127281,-74.0060152,Walter Munde,1931
"Baltimore, MD",39.2908816,-76.610759,Whitie,1934
"Minneapolis, MN",44.9772995,-93.2654692,Wilkie Mason,1938
"Detroit, MI",42.3315509,-83.0466403,Wilkie Mason,1940
"Wappingers Falls, NY",41.5965635,-73.9112103,William Lee Becker,1935
"Detroit, MI",42.3315509,-83.0466403,Yvonne —,1940
